Gene,Mean SHAP Value
KRT16,0.0003899244185790069
C6orf218,0.0003875986209937494
UBXN10,0.0003861657538950576
KIF16B,0.0003843585876965536
MEMO1,0.0003816462346962071
CSNK1A1,0.0003804378017010513
TMSB15B,0.00038034479504771274
TRIM2,0.0003771805694066808
FAHD2A,0.00037588365700315737
MAPK4,0.0003750530679372313
PRKX,0.0003724926307988449
CEBPB,0.00037170276266527166
CHEK1,0.0003716224393279781
GAMT,0.0003711184940027949
KIAA1804,0.00037043721709236914
MEX3A,0.00036980217639027117
ZNF286A,0.0003690891570896872
LPIN1,0.00036289602653936915
MPP6,0.00036167744503665605
DALRD3,0.00036139650594212836
SKP1,0.00036116074062802876
EAPP,0.00036013755204353703
ACADSB,0.0003582872873285899
SLC4A8,0.0003581805667566179
RGS11,0.00035809316061356187
SYTL2,0.00035696042338497906
ICAM1,0.0003508597246474041
GPN1,0.00034869110119489793
TNFRSF21,0.00034625591919810415
ANP32E,0.00034448136825481417
EPHB3,0.0003391914144604042
KCNN4,0.0003378623677700053
GJB3,0.0003358676609382502
SLC22A16,0.0003353001646947821
SFT2D2,0.00033344181761815674
C6orf97,0.0003331894977495601
FOXM1,0.0003329506637324086
TMEM144,0.00033065845028401494
UBXN2A,0.00033045511479096396
SCRG1,0.0003291472110560878
MATN4,0.0003275459005881134
ANKRA2,0.0003269570028593495
ANKRD45,0.000326435014613985
RAB21,0.0003228651850497342
TBC1D7,0.00032006373963064665
STK38,0.00031537924455247996
KLHDC2,0.00031177069970133935
C20orf26,0.000308686522190168
SDR16C5,0.0003080764435260851
LRP10,0.0003064053448439552
SORD,0.0003058805521653423
?|90288,0.00030506323459644937
LYPD5,0.00030469085933471063
POMC,0.00030441371772555766
PCDHB9,0.0003029215712611438
PER2,0.00030103842376327247
RNF103,0.0002969127222449118
LOC145837,0.00029568696280194687
A2ML1,0.0002941693962905677
CDKN2A,0.00029106003898441714
GREB1,0.0002909150753504515
MIA,0.0002875329975144925
RGS22,0.00028622415658305866
HORMAD1,0.00028481874052071544
ADAMTS15,0.0002828195422864518
UPF3B,0.00028129032118029255
NOL10,0.00027729004219740217
MTHFD1L,0.0002752561223203127
SPATA20,0.0002752050721787216
WNK3,0.0002728232362636884
KCNK15,0.00027272546661657104
C10orf90,0.0002625338176642541
TCF3,0.00026057327435661544
TMEM63C,0.00025789434552573074
OCA2,0.00025751974110060645
SOX8,0.0002570774378133605
POU5F1,0.00025666518130076986
CENPO,0.0002548246061785255
HNMT,0.00025446547479231337
LOC113230,0.0002534211133558481
SERHL2,0.0002525586936789196
BTRC,0.0002510381547753908
LMO4,0.0002485658750545532
FZD9,0.00024782224518465494
FXYD6,0.0002470562744450229
ZMYND10,0.0002463060796601776
GDF5,0.00024629400100445383
SLC26A3,0.0002452262366280958
ZNF625,0.00024183561696959694
TMEM216,0.00024169311660213527
GPR126,0.0002405454841633527
PRKCD,0.00023889029506344868
ITIH5L,0.0002378129729390298
PTCHD1,0.00023724924845592186
TBC1D1,0.00023716526950153256
RNF208,0.00023614717698404033
LY6D,0.00023591551093951865
SERPINB6,0.00023397500289139265
ART3,0.00023237268905992878
IL22RA2,0.0002310693226238151
ZNF91,0.0002309106977679398
DGKG,0.00023026821637857003
B3GNT7,0.0002299707528204624
PLOD1,0.0002296150031493856
PDSS1,0.0002281475772626133
LCMT2,0.00022705511718398662
STARD3,0.00022274462584596897
FNTB,0.0002226550860632649
PCDH8,0.00022240888013534018
CHN2,0.00022239090852665475
DAZAP2,0.0002222813432922837
SH3BGRL,0.0002221000647887142
APLF,0.00022165417250249206
NDST2,0.00022091713375247955
SLC35F2,0.0002200885086891095
C13orf27,0.00021910538367512185
MVP,0.0002185982746510248
EPHA2,0.00021845608224390915
CTSL2,0.00021805807469921332
TRAK1,0.00021675174994341666
KLHDC9,0.0002165465373139867
NCRNA00092,0.000215865623412725
SLC34A2,0.00021528803412188276
CAMTA1,0.000215160749567488
CHCHD3,0.00021418423759879374
NOSTRIN,0.00021238734594300395
RBM28,0.00021218136045670234
OXER1,0.0002119153074704879
LIMD2,0.0002111515574542241
LPO,0.00020728532512236767
CHIC1,0.00020689627884392493
AIM1L,0.0002065092732264037
KCNH1,0.00020647986625361975
CXorf61,0.00020628494275109834
CD46,0.0002053941752226247
TICAM1,0.00020525955761082102
SIRPA,0.00020432220468502398
GLUL,0.00020423119802819462
OGN,0.000203927215117541
RBM47,0.0002034563282719626
TRAM1L1,0.00020120907131824725
KIAA0020,0.0002006476127081869
CCDC74B,0.00020046331113433635
SLC6A2,0.0002004000530810324
COL4A3BP,0.0002001257159283742
RMND5B,0.00019953872861634732
PLEKHA9,0.00019933999755259273
TF,0.00019898408945136724
NPC2,0.00019896859180311676
MAML2,0.00019891197731595074
PRRT3,0.0001987993769737161
C1QL2,0.0001986832421721032
FERMT1,0.00019854182823351093
CMTM7,0.0001985206188508041
CDC20B,0.00019631755711539928
MED13L,0.0001962788970738903
NXNL2,0.00019566153767417726
KIAA1755,0.00019411707595191915
PHF19,0.00019405467481731743
C6orf167,0.00019367144693874125
SSC5D,0.00019342174368999396
CDH19,0.00019326585516064114
VPS37B,0.0001928714001706975
ZNF488,0.00019241243332358674
RRP1B,0.00019166015288298542
MT1H,0.00019108008974072637
NOX4,0.00018963040610612118
NEK5,0.00018932917121699595
PAX9,0.0001889952364891249
CHST3,0.00018863597793949039
NUP85,0.00018787205093572358
NDN,0.00018780673226372939
ROPN1B,0.0001876191774974501
CELSR1,0.00018710128092717669
NCRNA00087,0.00018691856913140932
PLA2G4A,0.0001865367596489231
C19orf21,0.00018641489384396315
TIGD2,0.00018526564645011482
C6orf123,0.00018508241727630388
SPI1,0.0001840394486212318
COPZ1,0.00018316983026370691
B3GNT4,0.0001825992287520704
KLK14,0.00018249408800518122
SCRIB,0.0001823274244629793
TTC7A,0.00018145981614330802
CASC1,0.00018122831805083244
WDR46,0.0001801731774657851
LONRF2,0.0001799552273487855
JOSD1,0.00017848372655357103
