Gene,log2FoldChange,pvalue,adj_pvalue
CDKN2BAS,0.8063390047523655,4.455147417409607e-07,1.0794019137642e-06
LCMT1,-0.2599062094968758,4.4737970423003865e-07,1.0837661967336498e-06
PHKG1,1.0340201013314485,4.5471281290323703e-07,1.1013738022674053e-06
CRYBB2,0.6097961706138801,4.5533962546089325e-07,1.1027351850965604e-06
NOTUM,1.147052873021484,4.5646926909634397e-07,1.1053137569615723e-06
ACOT11,0.7039016103059597,4.571727336322452e-07,1.1068597744892146e-06
ARHGAP10,0.46341442598483695,4.576162980657132e-07,1.1077761984447898e-06
PNMA2,-0.7020991005852091,4.581122518763085e-07,1.1088191656414915e-06
ARHGAP20,-0.6815986057106942,4.608256699600081e-07,1.1152282449081905e-06
LRRC28,0.32668721574172377,4.6118178456471e-07,1.1159314849583704e-06
ACAP1,0.8794038058206661,4.617080221978993e-07,1.1168874457429298e-06
KCNJ13,-0.6519210125289663,4.616875303160102e-07,1.1168874457429298e-06
WIF1,1.6694476100703035,4.647232900529169e-07,1.1240218192871999e-06
C11orf45,0.5283569537724357,4.6579750900550277e-07,1.126460036688968e-06
TNFRSF10C,-0.6608959938729821,4.671128765962604e-07,1.129480660007712e-06
ARMC3,-1.0979139939515332,4.724426774566963e-07,1.1422059621078278e-06
ANXA5,0.29463371823573326,4.725314489850722e-07,1.1422584210384357e-06
IGHMBP2,-0.28431974392207593,4.7347106867865436e-07,1.1443673431163048e-06
IFI30,0.48887711794509414,4.7354766924078194e-07,1.144390067712575e-06
QSER1,0.40610291818859956,4.753727292572952e-07,1.14863756799826e-06
ARHGEF15,-0.5019573229645333,4.7587929591863405e-07,1.1496984550282788e-06
SGSM1,-0.8298517261694354,4.766220864236881e-07,1.151329664084455e-06
TMEM161A,0.37045715015121417,4.786795071141593e-07,1.1561355844779654e-06
GRM8,-0.6375299556183971,4.792736643648469e-07,1.1574064810172069e-06
SDCBP2,0.770371611484232,4.809988981324575e-07,1.1614080866575573e-06
RPRM,1.0664588743568595,4.814716646505644e-07,1.162384809894969e-06
PLB1,0.6678730843250476,4.885325729499254e-07,1.1792643114581473e-06
IPP,-0.3553084050115869,4.890311740158868e-07,1.1803005801432188e-06
IPPK,-0.31284764934605747,4.914105782629039e-07,1.1858753220656446e-06
TAOK1,-0.6630976002513655,4.965755338564184e-07,1.1981151265204643e-06
PCDHGB7,-0.7849852637366945,4.966232929012306e-07,1.1981151265204643e-06
DICER1,-0.32707786025686403,4.969477739579141e-07,1.1987281289664701e-06
NCF1,0.7197780723459415,4.985721329783737e-07,1.2024760550377713e-06
RPL30,0.3872626801775283,4.99203632727728e-07,1.2038286413697547e-06
CDC42,-0.19816346569262677,4.995761559546561e-07,1.2045564117100089e-06
RUVBL1,0.3154243548957254,5.001977814128075e-07,1.205884515495486e-06
IP6K1,-0.21898427006009236,5.038494074793517e-07,1.2145159815107374e-06
DHRS11,0.5045219080161809,5.073229165843607e-07,1.222715718855316e-06
SAFB,0.20390535721299052,5.088120858956261e-07,1.2261128971283637e-06
C6orf176,1.0715504418522448,5.08876450787039e-07,1.2261128971283637e-06
OLFM4,1.8883288873178588,5.104962132873517e-07,1.229841634217513e-06
PLBD2,-0.28930144534778357,5.127828017261102e-07,1.2351755464491734e-06
EXOSC4,0.4667913711166083,5.13547497360784e-07,1.2368425795579342e-06
SNX29,-0.33871902517575947,5.167531033949393e-07,1.244387068837078e-06
LOC100216545,0.39954726051608436,5.180430527056471e-07,1.2473170065852072e-06
TGDS,0.33814145163190545,5.1837058584116e-07,1.247929188136126e-06
CSAG3,1.4624729390047522,5.20835327433798e-07,1.253685600875983e-06
HSPA4L,0.8647652095361531,5.212554805355805e-07,1.2545196203393068e-06
MDM4,-0.3268954675778648,5.22897589191847e-07,1.2582939019269682e-06
DDI2,-0.6469418836652112,5.232802505193557e-07,1.259036827683615e-06
CXCL9,1.2012443030517268,5.236071857129057e-07,1.2596454827928781e-06
POM121,0.2524580534935783,5.247294626901619e-07,1.2621670550301493e-06
HSD17B7,-0.3313772279172049,5.30489388285085e-07,1.275841587698771e-06
NUDT9,-0.2962875417304911,5.312830128159704e-07,1.2773894830235743e-06
ADAM12,-0.6499643768901464,5.312371845145424e-07,1.2773894830235743e-06
C6orf52,0.6989958642629914,5.356396708048078e-07,1.28768260782127e-06
BPTF,-0.3288065001374676,5.389380546898293e-07,1.295429085584727e-06
MTA3,-0.28112991241506613,5.391822911736714e-07,1.2958332512965881e-06
CP110,-0.3812732964141219,5.401558693512063e-07,1.2979899047623878e-06
RAPGEFL1,-0.728776320647265,5.415092739203598e-07,1.301058540471745e-06
CDKN2D,0.4658929814225665,5.422875267657705e-07,1.3027446157174596e-06
CEP68,-0.2737531636620716,5.432189330469623e-07,1.3047980860070194e-06
DDT,0.40820250972074845,5.461229614305885e-07,1.3115884971319872e-06
PRSS35,-0.6511527591217945,5.471304809352401e-07,1.3138229117776563e-06
ITGB1BP2,0.5537829896704767,5.473325089140537e-07,1.3141227445095636e-06
OIT3,0.7118935273555629,5.480199304771276e-07,1.315587738374046e-06
CD3E,0.8753681002317286,5.513665352036058e-07,1.323435108459113e-06
CLCN3,-0.37463240642551376,5.517463973550221e-07,1.3241602518258212e-06
SPATS2L,0.4246488315462855,5.533303782919425e-07,1.3277746008611782e-06
SERPINA9,-0.8067332822748516,5.548642859705238e-07,1.331080263428373e-06
ATG9B,0.698457319036959,5.548300829047765e-07,1.331080263428373e-06
C1orf159,0.3529231766230714,5.551206830982799e-07,1.331507779318832e-06
YIF1B,0.30396290404932813,5.558976119957805e-07,1.3331835420769104e-06
WIZ,0.28212565099564024,5.593121201927779e-07,1.3411835267365542e-06
CSTA,0.873839927732611,5.607169607430897e-07,1.344362922913532e-06
CYB5R3,0.2976930717568056,5.621335023065439e-07,1.347569474138576e-06
YTHDC1,-0.15629750991712577,5.630500679145549e-07,1.3495767285833736e-06
KLHL4,-0.6620888417579827,5.641037230380023e-07,1.3515315705313985e-06
ARHGAP31,0.42426265661207196,5.640131592579963e-07,1.3515315705313985e-06
