Gene,log2FoldChange,pvalue,adj_pvalue
PPP1R14D,-1.0512321432779543,4.057700220471382e-18,3.0414892057494556e-17
C10orf90,2.5067704881976356,4.134229888212234e-18,3.0974894411022595e-17
PRSS3,2.1014734417344174,4.258279097748502e-18,3.184826220230874e-17
ETNK2,-1.4421363418561715,4.313747773923631e-18,3.2234806752926474e-17
EPN3,-1.1739201013314489,4.487660628695191e-18,3.3490298206257275e-17
ZNF667,1.3522136443973132,4.6037583117534816e-18,3.432662173781164e-17
CHST8,-2.4684156003299162,4.676716038333169e-18,3.480964778532074e-17
C9orf68,-1.4419312045874078,4.684653939058878e-18,3.484478845634948e-17
SCN2B,-1.4972923019520048,4.74141854542229e-18,3.524502742406879e-17
LOC100190938,-1.5961325242527797,4.915260036445206e-18,3.648948492618215e-17
SIX3,2.7274900632339674,5.016305469820011e-18,3.720717863721028e-17
RAD51AP2,1.246049004359609,5.090980432000671e-18,3.771178632317156e-17
KIRREL3,1.7692327991830645,5.347472321098311e-18,3.9577337517733266e-17
SYNM,1.8909013314480987,5.438077369832023e-18,4.0212964658375755e-17
HSPA12A,-1.0922697262479888,5.538881735768382e-18,4.09406058854755e-17
RAB11FIP1,-1.0447966458505196,5.54578084136097e-18,4.097381680189905e-17
CEACAM19,1.5381435528848044,5.605983748969429e-18,4.140065188419313e-17
LOC645323,2.106291724598406,5.65737380525282e-18,4.176206150995038e-17
MYOZ3,-1.3340433015199715,5.671113437259153e-18,4.1845347416171306e-17
LOC157381,1.7473278347276222,5.843103792058104e-18,4.307708120292187e-17
IL32,1.3716174777110126,6.0749348579623775e-18,4.4728119598400035e-17
NDRG1,1.3400236950630386,6.188581981154746e-18,4.5525508051432106e-17
NEURL,-2.4855214563449985,6.2010225671339845e-18,4.559732915297572e-17
C11orf9,1.4012199128078215,6.2404309016138255e-18,4.584751434619648e-17
UGT2B7,2.2806573072542315,6.410995480944388e-18,4.7060022862277126e-17
LOC100130522,-1.3791120969325639,6.502230007241964e-18,4.7696140892234306e-17
C9orf150,-1.3800925101135064,6.74539159783279e-18,4.9429440151072464e-17
SLC6A17,2.034021637013471,6.788792453558555e-18,4.972607977810847e-17
MT1H,1.8573998193315262,6.93911114247924e-18,5.0783439087417903e-17
KLK7,3.2626442716311215,7.001615676169946e-18,5.1218863816655583e-17
COL4A3,1.6603629079769058,7.205613493622611e-18,5.266592180102707e-17
KCNMA1,-1.6220446683162502,7.25516618517206e-18,5.2937223707575064e-17
BCL2A1,1.6568533207650917,8.43961800278711e-18,6.138327402030235e-17
ZBTB16,-1.881422182946467,8.567278950868564e-18,6.227091785458458e-17
TRPM6,1.8994523427987908,8.788022900863318e-18,6.376652322185867e-17
C6orf15,2.7120100703036014,8.924023229755276e-18,6.472577325499675e-17
PPM1J,-1.1679629747456897,9.028718807522898e-18,6.545725044364195e-17
ZNF883,1.693893503790112,9.438341432299064e-18,6.831064793542415e-17
SLC6A16,1.372467165468756,9.802207952037389e-18,7.085382063802917e-17
LYPD5,1.4556642433525777,1.0467706211679865e-17,7.552804324033696e-17
LOC283174,-1.9627547621853023,1.0555248249628079e-17,7.610325050430406e-17
FMN1,-1.3962522485369782,1.0587033443805851e-17,7.630011830216405e-17
SERP2,-1.3133343466478147,1.1119680228909112e-17,8.000344499295402e-17
SYT8,2.6937438121047883,1.1227229557493545e-17,8.070904152136557e-17
STX19,1.9110386512705713,1.1284460051289744e-17,8.108622560061787e-17
MAP7D3,1.152601853815641,1.132311447662847e-17,8.129537923144302e-17
B3GNT7,1.602595553984524,1.210680043360753e-17,8.68121311091942e-17
GSC,-1.2291920584423228,1.2575079687960651e-17,9.005618464506723e-17
FASN,-1.1454490475629395,1.266657867483774e-17,9.063522471953224e-17
PRR15L,-1.4635789874710348,1.2674887387885578e-17,9.06565863988624e-17
BCL11B,1.4547032559600943,1.3332038024816642e-17,9.511713764668094e-17
HSD17B8,-1.3097658968618662,1.3667995298588896e-17,9.739161503555184e-17
TCEA3,-1.1443226110521962,1.4115127170132162e-17,1.0040961391284491e-16
CDK15,-1.0532208357880684,1.5025564982377477e-17,1.0666334791575174e-16
TMOD1,1.185039197203567,1.5176912771900003e-17,1.0764799021468432e-16
ALCAM,-1.5278872589450554,1.6453646183539903e-17,1.1626788153762842e-16
GLYATL2,2.482189415184008,1.7044969289068483e-17,1.203964442110478e-16
ASPN,-1.6238376183182144,1.7095917388344795e-17,1.2070624922201983e-16
FAM176B,-1.0966615254703251,1.7180554953093725e-17,1.2125356438093085e-16
CCDC151,-1.4196800282785436,1.747254779922359e-17,1.2326325145848288e-16
TSPYL5,1.5417926043753205,1.9100216981119457e-17,1.3457869060341925e-16
SLC2A12,1.285314645929069,1.969977292383865e-17,1.3842258188662672e-16
MYCBPAP,-1.1722994226464007,2.035673339217157e-17,1.4260599328205752e-16
OXGR1,2.2270656690624877,2.0677547399231474e-17,1.4479384548063816e-16
PDZK1IP1,1.7844953144024194,2.0745801730541997e-17,1.4521208527378965e-16
ENPP5,-1.290227842582775,2.0998059188339767e-17,1.4691739851167881e-16
LOC121838,2.1059238089627272,2.14538625457463e-17,1.4992173949694684e-16
AMPH,-1.5626070578531888,2.2955659122125142e-17,1.6015357429323688e-16
CORO2A,-1.0141228663446036,2.3258142585386415e-17,1.62131055353717e-16
LOC286467,1.8388289933623971,2.3728877064429497e-17,1.6527720916451303e-16
LPPR5,-1.0890774439338597,2.382560187178373e-17,1.6588307435669538e-16
PRR11,1.2639826283335305,2.4433944437763008e-17,1.6991019753985466e-16
HOXC5,-1.0319240956757398,2.491027260628957e-17,1.7315181325922915e-16
PNPLA7,-1.3274764266918035,2.5108714662408892e-17,1.7438882981273389e-16
NBPF6,-2.09175798279722,2.516322508905933e-17,1.746961774425929e-16
PRSS16,1.6510681591453586,2.5185243517866214e-17,1.747777901830732e-16
ARHGEF38,-1.5743264325831672,2.6355188500070797e-17,1.824507561610592e-16
CDCA7L,1.0473378421900161,2.7262060453635863e-17,1.8849894012400275e-16
CARD9,1.2108544715447147,2.883875973784329e-17,1.9875519155624088e-16
TEKT1,-1.024046498566435,2.9320867176806084e-17,2.0191442297654977e-16
AK7,-1.3497717136011937,2.971325818886023e-17,2.0453386699930871e-16
CDKN2A,2.114353811712033,3.062183261439897e-17,2.105328257663361e-16
PHYHD1,-2.043628278543655,3.101499539585466e-17,2.128921288155602e-16
PEX11G,-1.0346085189112761,3.1867049901052e-17,2.183008285659355e-16
ULBP2,1.577405337575116,3.202612287447903e-17,2.1921417707089142e-16
RNF222,1.6994127606928244,3.368575037367908e-17,2.3020398429524665e-16
RIPK3,-1.1496350771768604,3.379712634392967e-17,2.3087246756402823e-16
ACTR3B,1.1158199913593343,3.435831710598558e-17,2.343300521886001e-16
LOC388588,-1.158925941636228,3.447840621497445e-17,2.3486690313640597e-16
GPX7,1.1124598130474057,3.4597578088042775e-17,2.35584468148488e-16
GPR97,1.3166824398099046,3.5603205622164924e-17,2.421416101219923e-16
COL27A1,1.4217661050233694,3.6964537260296673e-17,2.510993496381541e-16
ADORA2B,1.3149279014964055,3.749640361152005e-17,2.5440786992198665e-16
DLX6,2.5596670397863406,3.790770787279723e-17,2.57096083263137e-16
TNIP3,1.784610305958132,4.075883553505718e-17,2.759932282950393e-16
NCRNA00110,-1.015234405561447,4.28340731045348e-17,2.895848610441555e-16
ITGBL1,-1.2339690035740922,4.6066239202084353e-17,3.1118923189666663e-16
KIAA1324,-1.8782266918031478,4.74422346728733e-17,3.2023038306739285e-16
UNC5A,-2.0161489768665786,4.8252825811625796e-17,3.2544381131563853e-16
SEC14L4,2.0373276619143,4.9576546652035154e-17,3.3410707933682574e-16
VSNL1,1.7983920977180787,4.970863262474508e-17,3.3486472056938636e-16
SSPO,-1.2750020030635083,5.038174206326035e-17,3.3926495347462385e-16
CENPI,1.0518250265111364,5.1336499039848846e-17,3.452845887237859e-16
CD79B,1.3757728329602124,5.210321978136685e-17,3.5016489063799423e-16
S100A3,1.0804005420054206,5.265905172800587e-17,3.537608090445523e-16
